Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-07-14 13:30:00+00:00,121642.0,121729.046875,121237.046875,121659.671875,23721959424
2025-07-14 13:45:00+00:00,121618.046875,122019.328125,121618.046875,121796.890625,8906399744
2025-07-14 14:00:00+00:00,121740.9609375,121853.9375,121592.8359375,121713.53125,1028063232
2025-07-14 14:15:00+00:00,121262.6953125,121891.3828125,121232.390625,121791.21875,33882505216
2025-07-14 14:30:00+00:00,120811.5390625,121332.8515625,120811.5390625,121332.8515625,0
2025-07-14 14:45:00+00:00,121127.671875,121127.671875,120663.53125,120817.859375,2670477312
2025-07-14 15:00:00+00:00,120704.7265625,121185.6953125,120496.0546875,121185.6953125,0
2025-07-14 15:15:00+00:00,120399.328125,120687.09375,120385.1015625,120687.09375,2094202880
2025-07-14 15:30:00+00:00,120143.5390625,120370.1015625,120116.265625,120370.1015625,1319796736
2025-07-14 15:45:00+00:00,119827.234375,120125.0234375,119635.109375,120125.0234375,598917120
2025-07-14 16:00:00+00:00,119484.1171875,119819.453125,119434.1875,119819.453125,1381531648
2025-07-14 16:15:00+00:00,119862.328125,119862.328125,119206.640625,119399.9453125,1301446656
2025-07-14 16:30:00+00:00,119791.171875,119996.0546875,119749.09375,119996.0546875,899776512
2025-07-14 16:45:00+00:00,120258.15625,120269.78125,119778.1171875,119811.4921875,2762604544
2025-07-14 17:00:00+00:00,120478.984375,120483.9140625,120224.2578125,120260.8984375,354844672
2025-07-14 17:15:00+00:00,120102.2734375,120461.5,120102.2734375,120461.5,3328344064
2025-07-14 17:30:00+00:00,119980.0703125,120171.8046875,119885.5390625,120130.0390625,3179266048
2025-07-14 17:45:00+00:00,119805.5703125,119943.25,119780.03125,119910.625,314687488
2025-07-14 18:00:00+00:00,119779.0546875,120012.4140625,119778.3984375,119807.078125,1266237440
2025-07-14 18:15:00+00:00,120090.0859375,120137.2421875,119799.9140625,119806.9375,303153152
2025-07-14 18:30:00+00:00,119890.953125,120151.4453125,119890.3359375,120118.5625,560365568
2025-07-14 18:45:00+00:00,119644.4375,119895.828125,119641.546875,119895.828125,124649472
2025-07-14 19:00:00+00:00,119808.078125,120069.34375,119655.46875,119655.46875,586924032
2025-07-14 19:15:00+00:00,119799.8515625,119837.0234375,119703.140625,119792.5078125,369410048
2025-07-14 19:30:00+00:00,119756.2109375,120043.9921875,119752.4453125,119793.1953125,139771904
2025-07-14 19:45:00+00:00,119836.3125,120020.4140625,119694.5390625,119749.640625,1401831424
2025-07-14 20:00:00+00:00,119781.671875,119898.90625,119694.734375,119898.90625,249593856
2025-07-14 20:15:00+00:00,119939.4765625,119939.4765625,119579.6484375,119718.828125,181698560
2025-07-14 20:30:00+00:00,120239.46875,120239.46875,119979.8984375,119987.7109375,1554120704
2025-07-14 20:45:00+00:00,120363.046875,120440.1953125,120190.875,120258.6015625,1399521280
2025-07-14 21:00:00+00:00,119999.109375,120246.875,119999.109375,120246.875,1437532160
2025-07-14 21:15:00+00:00,120004.6015625,120088.6640625,119897.15625,119899.0546875,221265920
2025-07-14 21:30:00+00:00,120053.1328125,120062.7109375,119966.796875,120008.28125,77561856
2025-07-14 21:45:00+00:00,120234.40625,120241.9375,120021.484375,120039.125,943423488
2025-07-14 22:00:00+00:00,120180.34375,120190.546875,119975.0390625,120095.78125,121602048
2025-07-14 22:15:00+00:00,120210.65625,120226.9375,120155.9296875,120214.9609375,989118464
2025-07-14 22:30:00+00:00,120184.0625,120305.6015625,120111.234375,120305.6015625,996163584
2025-07-14 22:45:00+00:00,120076.7421875,120165.3046875,120072.1015625,120159.6875,2316632064
2025-07-14 23:00:00+00:00,119979.6640625,120075.625,119933.7265625,120075.625,64749568
2025-07-14 23:15:00+00:00,119844.890625,119947.8671875,119819.0078125,119939.4375,21741568
2025-07-14 23:30:00+00:00,119855.1953125,119942.453125,119840.859375,119845.1171875,2770255872
2025-07-14 23:45:00+00:00,119846.8125,119859.2421875,119787.3515625,119858.3046875,0
2025-07-15 00:00:00+00:00,119678.4296875,119850.5703125,119678.4296875,119850.5703125,52002816
2025-07-15 00:15:00+00:00,119908.703125,119933.421875,119618.2109375,119644.0390625,1135869952
2025-07-15 00:30:00+00:00,119307.8359375,119893.484375,119307.8359375,119893.484375,1060225024
2025-07-15 00:45:00+00:00,119553.109375,119580.03125,119365.3125,119443.78125,1753219072
